DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
BHIWADI,23.13056807,57.2020863,22.33737719,24.20299398,19.59702293,48.14451507,45.98168473,43.50291629,35.29545562
JODHPUR,27.53704505,26.68174017,32.94236095,22.35324982,22.07677403,50.00199653,40.87162368,43.54656957,52.62816381
SINGRAULI,10.92470535,15.49658282,27.34274536,21.60870116,13.62767223,17.78760347,50.6061504,22.20299847,26.50103959
ANKLESHWAR,18.53100406,16.67904541,37.14881113,23.7792402,18.38312583,46.278604,62.85478845,68.72172234,69.37677666
LUDHIANA,8.396339592,11.11895447,22.14151307,10.09624442,8.303548443,21.15027602,25.65912207,24.75832781,23.76747293
DURGAPUR,6.141875859,8.272924545,20.33908363,9.480578099,8.779258228,15.28269059,9.617847985,13.75535126,24.39062082
YAMUNA_NAGAR,37.34431213,34.566169,56.26632033,36.33099782,38.17733502,66.14114042,72.39132839,45.62586113,74.13381979
CHARKHI_DADRI,18.42164529,20.42508054,27.95619003,18.42581477,18.05763902,40.70510733,46.16307812,45.26819712,43.48455435
JIND,24.16818396,26.41804497,34.34880075,25.84888345,19.40525139,79.21755831,62.12867459,43.59260808,50.94575361
KURUKSHETRA,27.14068812,72.028463,43.56132876,27.32017621,26.70213125,65.76969917,39.70522868,88.1188066,53.73555998
SONIPAT,12.5575387,15.98304823,22.40411073,15.41271921,10.89591838,43.02267063,24.01069358,22.95780051,46.77439378
DHARUHERA,26.74080059,28.92895526,34.6043948,24.05770188,25.18614133,53.17934521,31.92659777,35.01294904,46.22220169
AMBALA,22.58426444,28.9592823,41.08180813,19.92082694,16.92465045,57.43097254,40.70939422,34.13827309,63.85345915
HISAR,28.34329981,66.79266768,47.93403212,33.97977934,30.98706981,63.2944113,43.15696673,49.10224601,62.45992665
FATEHABAD,14.36808102,38.36120439,72.70902628,15.50931117,15.58311164,38.37766689,74.37553165,76.74755137,72.64096292
BULANDSHAHR,7.386808179,8.87022024,19.79034448,11.18867371,7.196156111,14.98251029,9.605320125,13.15784742,11.50796614
MUZAFFARNAGAR,11.8767293,16.1294846,13.72417181,14.1996664,12.75087971,22.21005684,15.91182998,23.60361804,21.89532764
,2.1176,4.2941,5.7059,3.1176,1.7059,7.1176,6.5294,6.9412,7.4706